TICKER,CURRENT_PRICE,diff_pct_to_m,diff_pct_support,reward_risk,p_touch_rw,lowest_m_strike,lowest_neg_zone_strike,nearest_neg_zone_strike,current_strike,NEXT_EARNINGS_DATE,NEXT_EX_DIV_DATE
ENSG,170.00 (0.00%),2.94,2.94,1.0,0.5,175.0,165.0,165.0,170.0,2026-11-03,2026-06-29
ABT,102.73 (0.00%),1.24,1.68,0.73,0.577,104.0,101.0,101.0,103.0,2026-10-14,2026-07-14
DJT,8.60 (0.00%),4.65,6.98,0.67,0.6,9.0,8.0,8.0,8.5,2026-11-06,
CMG,33.92 (0.00%),2.59,4.19,0.62,0.617,34.8,32.5,33.0,34.0,2026-10-28,
RKT,13.14 (0.00%),2.74,4.87,0.56,0.64,13.5,12.5,12.5,13.0,2026-11-05,2025-03-19
SONY,24.14 (0.00%),3.58,6.77,0.53,0.654,25.0,22.5,23.5,24.0,2026-11-05,2026-03-29
EMR,144.85 (0.00%),1.48,3.35,0.44,0.693,147.0,140.0,140.0,145.0,2026-11-04,2026-08-13
GLD,397.12 (0.00%),0.73,1.79,0.41,0.712,400.0,390.0,390.0,397.0,,
MARA,11.42 (0.00%),5.08,12.43,0.41,0.71,12.0,10.0,11.0,11.5,2026-11-04,
CCL,22.72 (0.00%),1.23,3.17,0.39,0.72,23.0,22.0,22.0,22.5,2026-09-29,2026-08-06
SO,86.45 (0.00%),0.64,1.68,0.38,0.725,87.0,85.0,85.0,86.0,2026-10-29,2026-08-16
TGTX,55.85 (0.00%),7.43,19.43,0.38,0.723,60.0,45.0,50.0,55.0,2026-11-02,
VRNS,47.33 (0.00%),5.65,15.48,0.37,0.733,50.0,40.0,40.0,45.0,2026-10-27,
NVAX,9.35 (0.00%),6.95,19.79,0.35,0.74,10.0,7.5,9.0,9.5,2026-11-05,
LMND,49.22 (0.00%),1.58,4.51,0.35,0.74,50.0,47.0,47.0,49.0,2026-11-04,
AMZN,249.28 (0.00%),1.29,3.72,0.35,0.742,252.5,240.0,247.5,250.0,2026-10-29,
IBM,238.80 (0.00%),2.6,7.87,0.33,0.752,245.0,220.0,235.0,240.0,2026-10-21,2026-08-09
CSIQ,11.55 (0.00%),3.9,13.42,0.29,0.775,12.0,10.0,10.0,11.5,2026-11-12,
CDE,19.45 (0.00%),2.85,10.0,0.29,0.778,20.0,17.5,19.0,19.5,2026-10-28,2026-05-21
HOOD,106.23 (0.00%),1.66,5.87,0.28,0.779,108.0,100.0,100.0,106.0,2026-11-04,
HAL,34.56 (0.00%),1.27,4.51,0.28,0.78,35.0,33.0,34.0,34.5,2026-10-20,2026-09-01
MSFT,494.59 (0.00%),1.09,3.96,0.28,0.784,500.0,475.0,487.5,495.0,2026-10-28,2026-11-18
PURR,11.69 (0.00%),2.7,10.14,0.27,0.79,12.0,10.5,11.0,11.5,2026-11-16,
CSCO,108.98 (0.00%),0.94,3.65,0.26,0.796,110.0,105.0,105.0,109.0,2026-11-12,2026-10-01
PATH,13.70 (0.00%),2.23,8.73,0.26,0.797,14.0,12.5,12.5,13.5,2026-12-02,
NIO,3.58 (0.00%),11.58,44.21,0.26,0.792,4.0,2.0,2.0,3.5,2026-11-24,
