TICKER,DATE,EVENT_TYPE,ITEMS,DESCRIPTION,URL
A,2026-06-25,Material Agreement,"1.01,2.03,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1090872/000119312526282845/d75293d8k.htm
A,2026-05-27,Earnings Release,"2.02,5.02,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1090872/000109087226000052/a-20260520.htm
A,2026-05-04,Executive/Board Change,"5.02,7.01,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1090872/000119312526202636/a-20260504.htm
A,2026-04-03,8-K: Other Material Event,"5.01,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1090872/000119312526142101/a-20260331.htm
A,2026-03-20,Bylaws/Fiscal Year Change,"5.03,5.07,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1090872/000119312526117614/a-20260318.htm
A,2026-03-06,Executive/Board Change,"5.02,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1090872/000119312526096487/a-20260305.htm
A,2026-02-25,Earnings Release,"2.02,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1090872/000109087226000015/a-20260225.htm
AA,2026-07-16,Earnings Release,"2.02,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1675149/000119312526306118/aa-20260716.htm
AA,2026-07-02,Material Agreement,"1.01,8.01,9.01",FORM 8-K,https://www.sec.gov/Archives/edgar/data/1675149/000095010326010155/dp249367_8k-mc.htm
AA,2026-07-01,Investor Presentation / Reg FD Disclosure,"7.01,9.01",FORM 8-K,https://www.sec.gov/Archives/edgar/data/1675149/000095010326009899/dp249366_8k-pr.htm
AA,2026-05-11,Executive/Board Change,"5.02,5.07,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1675149/000119312526216915/aa-20260506.htm
AA,2026-05-04,Material Agreement,"1.01,2.03,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1675149/000119312526203996/d15759d8k.htm
AA,2026-04-16,Earnings Release,"2.02,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1675149/000119312526159018/aa-20260416.htm
AA,2026-04-14,Other Material Event,"8.01,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1675149/000119312526154986/d106551d8k.htm
AAL,2026-07-23,Earnings Release,"2.02,7.01,9.01",8-K 07.23.26 EARNINGS RELEASE AND INVESTOR PRESENTATION,https://www.sec.gov/Archives/edgar/data/6201/000000620126000051/aal-20260723.htm
AAL,2026-07-15,Executive/Board Change,"5.02,7.01,9.01",8-K 07.15.2026 NEW DIRECTOR,https://www.sec.gov/Archives/edgar/data/6201/000000620126000046/aal-20260715.htm
AAL,2026-06-16,Executive/Board Change,"5.02,7.01,9.01",8-K 06.14.26,https://www.sec.gov/Archives/edgar/data/6201/000000620126000044/aal-20260614.htm
AAL,2026-06-10,Executive/Board Change,"5.02,5.07,9.01",8-K 06.10.26 2026 ANNUAL MEETING,https://www.sec.gov/Archives/edgar/data/6201/000000620126000039/aal-20260610.htm
AAL,2026-05-29,Material Agreement,"1.01,2.03,9.01",8-K,https://www.sec.gov/Archives/edgar/data/6201/000119312526248886/d118984d8k.htm
AAL,2026-04-23,Earnings Release,"2.02,7.01,9.01",8-K 04.23.26 EARNINGS RELEASE AND INVESTOR PRESENTATION,https://www.sec.gov/Archives/edgar/data/6201/000000620126000031/aal-20260423.htm
AAL,2026-04-20,Investor Presentation / Reg FD Disclosure,"7.01,9.01",8-K,https://www.sec.gov/Archives/edgar/data/6201/000119312526162119/d357173d8k.htm
AAL,2026-03-24,Executive/Board Change,"5.02,7.01,9.01",8-K 03.24.2026 NEW DIRECTOR,https://www.sec.gov/Archives/edgar/data/6201/000000620126000023/aal-20260324.htm
AAOI,2026-08-06,Earnings Release,"2.02,9.01",CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/1158114/000168316826006055/aaoi_8k.htm
AAOI,2026-07-01,Material Agreement,"1.01,2.03,9.01",FORM 8-K,https://www.sec.gov/Archives/edgar/data/1158114/000168316826005221/aaoi_8k.htm
AAOI,2026-06-16,Material Agreement,"1.01,2.03,9.01",FORM 8-K,https://www.sec.gov/Archives/edgar/data/1158114/000168316826004885/aaoi_8k.htm
AAOI,2026-06-05,Executive/Board Change,"5.02,5.07,9.01",FORM 8-K,https://www.sec.gov/Archives/edgar/data/1158114/000168316826004596/aaoi_8k.htm
AAOI,2026-05-14,Material Agreement,"1.01,9.01",FORM 8-K,https://www.sec.gov/Archives/edgar/data/1158114/000110465926061168/tm2614157d2_8k.htm
AAOI,2026-05-13,Material Agreement,"1.01,2.03,9.01",FORM 8-K,https://www.sec.gov/Archives/edgar/data/1158114/000168316826003817/aaoi_8k.htm
AAOI,2026-05-08,8-K: Other Material Event,"4.01,9.01",FORM 8-K,https://www.sec.gov/Archives/edgar/data/1158114/000168316826003572/aaoi_8k.htm
AAOI,2026-05-07,Earnings Release,"2.02,9.01",FORM 8-K,https://www.sec.gov/Archives/edgar/data/1158114/000168316826003562/aaoi_8k.htm
AAP,2026-08-20,Earnings Release,"2.02,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1158449/000119312526357755/aap-20260820.htm
AAP,2026-06-26,Executive/Board Change,"5.02,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1158449/000119312526285423/aap-20260624.htm
AAP,2026-05-22,8-K: Other Material Event,"5.07,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1158449/000119312526236815/aap-20260520.htm
AAP,2026-05-21,Earnings Release,"2.02,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1158449/000119312526233346/aap-20260521.htm
AAP,2026-03-10,Executive/Board Change,"5.02,7.01,9.01",8-K,https://www.sec.gov/Archives/edgar/data/1158449/000119312526100177/aap-20260309.htm
AAPL,2026-07-30,Earnings Release,"2.02,9.01",8-K,https://www.sec.gov/Archives/edgar/data/320193/000032019326000018/aapl-20260730.htm
AAPL,2026-04-30,Earnings Release,"2.02,9.01",8-K,https://www.sec.gov/Archives/edgar/data/320193/000032019326000011/aapl-20260430.htm
AAPL,2026-04-20,Executive/Board Change,5.02,8-K,https://www.sec.gov/Archives/edgar/data/320193/000114036126015711/ef20071035_8k.htm
AAPL,2026-02-24,8-K: Other Material Event,"5.07,9.01",8-K,https://www.sec.gov/Archives/edgar/data/320193/000114036126006577/ef20060722_8k.htm
ABBV,2026-08-18,Other Material Event,"8.01,9.01",FORM 8-K,https://www.sec.gov/Archives/edgar/data/1551152/000110465926098367/tm2623337d1_8k.htm
